15/04/2024 06:18:16 AM : root         : INFO     :  ******** Enrollment (Order - 12) Begin ********
15/04/2024 06:18:16 AM : root         : INFO     : Enrollment_Module_tc_002 started
15/04/2024 06:18:24 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:18:24 AM : root         : INFO     : url is not open
15/04/2024 06:18:24 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:18:24 AM : root         : INFO     : logging in to core
15/04/2024 06:18:24 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:24 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:26 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:27 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:29 AM : root         : INFO     : login success..
15/04/2024 06:18:33 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:33 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:33 AM : root         : INFO     : clicked on Identify and enroll link
15/04/2024 06:18:34 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:34 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:34 AM : root         : INFO     : clicked on upload image icon
15/04/2024 06:18:39 AM : root         : INFO     : Image upload success
15/04/2024 06:18:40 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:40 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:40 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:40 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:40 AM : root         : INFO     : Clicked on Identify and Enroll button
15/04/2024 06:18:46 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:18:46 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:18:50 AM : root         : INFO     : region btn clicked
15/04/2024 06:18:51 AM : root         : INFO     : edge name: sceedge13-vm
15/04/2024 06:18:52 AM : root         : INFO     : region name selected: SCEEDGE13-VM
15/04/2024 06:18:52 AM : root         : INFO     : save btn : 
15/04/2024 06:19:01 AM : root         : INFO     : save btn displayed: True
15/04/2024 06:19:01 AM : root         : INFO     : Enrollment details filled and save btn is clicked
15/04/2024 06:19:01 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:19:02 AM : root         : INFO     : exiting explicit wait..
15/04/2024 06:19:02 AM : root         : INFO     : Success msg is visible : True
15/04/2024 06:19:06 AM : root         : INFO     : wrong url detected: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:19:09 AM : root         : INFO     : page url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:19:09 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
15/04/2024 06:19:09 AM : root         : INFO     : url is not open
15/04/2024 06:19:09 AM : root         : INFO     : opening localhost portal login
15/04/2024 06:19:09 AM : root         : INFO     : logging in to core
15/04/2024 06:19:09 AM : root         : INFO     : entered explicit wait for 10
15/04/2024 06:19:20 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
15/04/2024 06:19:21 AM : root         : INFO     : exception: ()
15/04/2024 06:19:24 AM : root         : INFO     : actual text is DISABLED
15/04/2024 06:19:24 AM : root         : INFO     : expected text is DISABLED
15/04/2024 06:19:24 AM : root         : INFO     : status: [True, True, True]
