16/04/2024 07:24:44 PM : root         : INFO     :  ******** Visitor_Search_Jobs (Order - 8) Begin ********
16/04/2024 07:24:44 PM : root         : INFO     : Visitor search jobs module = test_VSJ_06 execution started..
16/04/2024 07:24:51 PM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
16/04/2024 07:24:51 PM : root         : INFO     : url is not open
16/04/2024 07:24:51 PM : root         : INFO     : opening localhost portal login
16/04/2024 07:24:51 PM : root         : INFO     : logging in to core
16/04/2024 07:24:51 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:24:51 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:24:53 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:24:54 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:24:56 PM : root         : INFO     : ******* Login with it admin user success *********
16/04/2024 07:25:03 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:03 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:25:05 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:05 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:25:05 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:05 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:25:05 PM : root         : INFO     : Clicked on Include Jobs For All Users option...
16/04/2024 07:25:07 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:18 PM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
16/04/2024 07:25:18 PM : root         : INFO     : before: 21
16/04/2024 07:25:18 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:18 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:25:19 PM : root         : INFO     : Strategy: from
16/04/2024 07:25:19 PM : root         : INFO     : select from date checkbox
16/04/2024 07:25:20 PM : root         : INFO     : select date time
16/04/2024 07:25:20 PM : root         : INFO     : datetime clicked
16/04/2024 07:25:21 PM : root         : INFO     : selecting time
16/04/2024 07:25:21 PM : root         : INFO     : select time 
16/04/2024 07:25:26 PM : root         : INFO     : select in from hours and min
16/04/2024 07:25:26 PM : root         : INFO     : From start date
16/04/2024 07:25:29 PM : root         : INFO     : Strategy: to
16/04/2024 07:25:32 PM : root         : INFO     : selecting time
16/04/2024 07:25:32 PM : root         : INFO     : select time 
16/04/2024 07:25:36 PM : root         : INFO     : select in to hours and min
16/04/2024 07:25:41 PM : root         : INFO     : To End Date
16/04/2024 07:25:46 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:46 PM : root         : INFO     : exiting explicit wait..
16/04/2024 07:25:46 PM : root         : INFO     : Clicked on Include Jobs For All Users option...
16/04/2024 07:25:49 PM : root         : INFO     : entered explicit wait for 10
16/04/2024 07:25:59 PM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
16/04/2024 07:25:59 PM : root         : INFO     : after: 1
16/04/2024 07:26:01 PM : root         : INFO     : There are no visitor search jobs for the current search or filter
16/04/2024 07:26:01 PM : root         : INFO     : status: []
