17/04/2024 07:59:41 AM : root         : INFO     :  ******** Insight Dashboard (Order - 21) Begin ********
17/04/2024 07:59:41 AM : root         : INFO     : ************* test_TC_Insight_Dashboard_01 started  **************
17/04/2024 07:59:46 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 07:59:46 AM : root         : INFO     : url is not open
17/04/2024 07:59:46 AM : root         : INFO     : opening localhost portal login
17/04/2024 07:59:46 AM : root         : INFO     : logging in to core
17/04/2024 07:59:46 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 07:59:46 AM : root         : INFO     : exiting explicit wait..
17/04/2024 07:59:49 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 07:59:49 AM : root         : INFO     : exiting explicit wait..
17/04/2024 07:59:51 AM : root         : INFO     : login success..
17/04/2024 07:59:56 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 07:59:56 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : overview dashboard visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total loss prevented text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total loss prevented amount visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_new_enrollments text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_new_enrollments count visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_facefirst_enrollments text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_facefirst_enrollments count visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_match_events text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : total_match_events count visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : visitor_searches text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : visitor_searches count visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : investigation_time text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : investigation_time count visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:00 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:00 AM : root         : INFO     : repeat_people_of_interest text visible: True
17/04/2024 08:00:00 AM : root         : INFO     : entered explicit wait for 5
17/04/2024 08:00:01 AM : root         : INFO     : exiting explicit wait..
17/04/2024 08:00:01 AM : root         : INFO     : repeat_people_of_interest count visible: True
17/04/2024 08:00:01 AM : root         : INFO     : status: [True, True, True, True, True, True, True, True]
17/04/2024 08:00:01 AM : root         : INFO     : ************* test_TC_Insight_Dashboard_01 end  **************
17/04/2024 08:00:01 AM : root         : INFO     : overview dashboard is visible.
