17/04/2024 09:46:06 AM : root         : INFO     :  ******** Visitor_Search_Jobs (Order - 8) Begin ********
17/04/2024 09:46:06 AM : root         : INFO     : Visitor search jobs module = test_VSJ_01 execution started..
17/04/2024 09:46:13 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:46:13 AM : root         : INFO     : url is not open
17/04/2024 09:46:14 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:46:14 AM : root         : INFO     : logging in to core
17/04/2024 09:46:14 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:46:14 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:46:16 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:46:17 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:46:19 AM : root         : INFO     : ******* Login with operator user success *********
17/04/2024 09:46:23 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:46:23 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:46:25 AM : root         : INFO     : Strategy: from
17/04/2024 09:46:25 AM : root         : INFO     : select from date checkbox
17/04/2024 09:46:26 AM : root         : INFO     : select date time
17/04/2024 09:46:26 AM : root         : INFO     : datetime clicked
17/04/2024 09:46:27 AM : root         : INFO     : selecting time
17/04/2024 09:46:27 AM : root         : INFO     : select time 
17/04/2024 09:46:31 AM : root         : INFO     : select in from hours and min
17/04/2024 09:46:32 AM : root         : INFO     : From start date
17/04/2024 09:46:34 AM : root         : INFO     : Strategy: to
17/04/2024 09:46:37 AM : root         : INFO     : selecting time
17/04/2024 09:46:37 AM : root         : INFO     : select time 
17/04/2024 09:46:41 AM : root         : INFO     : select in to hours and min
17/04/2024 09:46:41 AM : root         : INFO     : To End Date
17/04/2024 09:46:46 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:46:47 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:46:48 AM : root         : INFO     : SCEEDGE6-VM
17/04/2024 09:46:48 AM : root         : INFO     : sceedge6-vm
17/04/2024 09:46:48 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:46:48 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:46:50 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:01 AM : root         : INFO     : element not found: //div[@class='job-progress-container posrel fl disblk cb']
17/04/2024 09:47:01 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:01 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:08 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:08 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:12 AM : root         : INFO     : before format: {mon} {date}, {year}
17/04/2024 09:47:12 AM : root         : INFO     : expected formatted: APR 16, 2024
17/04/2024 09:47:12 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:12 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:12 AM : root         : INFO     : expected date: APR 16, 2024
17/04/2024 09:47:12 AM : root         : INFO     : actual date: START DATE: APR 16, 2024 11:00 PM END DATE: APR 17, 2024 3:00 PM ORG/HIERARCHY: SCEEDGE6-VM
17/04/2024 09:47:12 AM : root         : INFO     : date returning true
17/04/2024 09:47:14 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:14 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:14 AM : root         : INFO     : zone test : SEARCH CONSTRAINTS:
Start Date: Apr 16, 2024 11:00 PM End Date: Apr 17, 2024 3:00 PM Org/Hierarchy: sceedge6-vm
17/04/2024 09:47:14 AM : root         : INFO     : actual zone: sceedge6-vm
17/04/2024 09:47:14 AM : root         : INFO     : expected zone: sceedge6-vm
17/04/2024 09:47:14 AM : root         : INFO     : zone returning True
17/04/2024 09:47:14 AM : root         : INFO     : status: [True, True]
17/04/2024 09:47:16 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:16 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:18 AM : root         : INFO     : Visitor search jobs module = test_VSJ_02 execution started..
17/04/2024 09:47:19 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:47:19 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:47:19 AM : root         : INFO     : url is not open
17/04/2024 09:47:19 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:47:19 AM : root         : INFO     : logging in to core
17/04/2024 09:47:19 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:19 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:22 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:22 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:24 AM : root         : INFO     : login success..
17/04/2024 09:47:31 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:31 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:33 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:33 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:33 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:34 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:34 AM : root         : INFO     : Clicked on Include Jobs For All Users option...
17/04/2024 09:47:36 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:36 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:47:36 AM : root         : INFO     : status: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
17/04/2024 09:47:38 AM : root         : INFO     : Visitor search jobs module = test_VSJ_03 execution started..
17/04/2024 09:47:39 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:47:39 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:47:39 AM : root         : INFO     : url is not open
17/04/2024 09:47:39 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:47:39 AM : root         : INFO     : logging in to core
17/04/2024 09:47:39 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:47:50 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
17/04/2024 09:47:51 AM : root         : INFO     : exception: ()
