17/04/2024 02:38:27 PM : root         : INFO     :  ******** Identify & Enroll (Order - 8) Begin ********
17/04/2024 02:38:27 PM : root         : INFO     : Identify_enroll_Tc_02_started
17/04/2024 02:38:33 PM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 02:38:33 PM : root         : INFO     : url is not open
17/04/2024 02:38:34 PM : root         : INFO     : opening localhost portal login
17/04/2024 02:38:34 PM : root         : INFO     : logging in to core
17/04/2024 02:38:34 PM : root         : INFO     : entered explicit wait for 10
17/04/2024 02:38:34 PM : root         : INFO     : exiting explicit wait..
17/04/2024 02:38:36 PM : root         : INFO     : entered explicit wait for 10
17/04/2024 02:38:36 PM : root         : INFO     : exiting explicit wait..
17/04/2024 02:38:38 PM : root         : INFO     : login success..
17/04/2024 02:38:42 PM : root         : INFO     : Enrollment link is clicked 
17/04/2024 02:38:43 PM : root         : INFO     : loadmore button is clicked 
17/04/2024 02:38:44 PM : root         : INFO     : filter dropdown link is clicked :
17/04/2024 02:38:46 PM : root         : INFO     : pending for review link is clicked :
17/04/2024 02:38:48 PM : root         : INFO     : checkboxes length is :
17/04/2024 02:39:12 PM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\test_TC_IE_02.png
17/04/2024 02:39:16 PM : root         : INFO     : logout
