18/04/2024 08:56:34 AM : root         : INFO     :  ******** Notification_Groups_Module (Order - 3) Begin ********
18/04/2024 08:56:34 AM : root         : INFO     : *********************** test_TC_NG_012 *******************
18/04/2024 08:56:39 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
18/04/2024 08:56:39 AM : root         : INFO     : url is not open
18/04/2024 08:56:39 AM : root         : INFO     : opening localhost portal login
18/04/2024 08:56:39 AM : root         : INFO     : logging in to core
18/04/2024 08:56:39 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:39 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:42 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:42 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:44 AM : root         : INFO     : login success..
18/04/2024 08:56:47 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:47 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:47 AM : root         : INFO     : notification groups btn is clicked
18/04/2024 08:56:51 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:51 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:51 AM : root         : INFO     : DefaultAlertGroup is visible...
18/04/2024 08:56:51 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:51 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:51 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:51 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:51 AM : root         : INFO     : Default User linked with default alert group is: core
18/04/2024 08:56:51 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:51 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:51 AM : root         : INFO     : entered explicit wait for 10
18/04/2024 08:56:51 AM : root         : INFO     : exiting explicit wait..
18/04/2024 08:56:51 AM : root         : INFO     : length of case group list: 2, Default Enrollment Group
18/04/2024 08:56:51 AM : root         : INFO     : default_case_group name: Default Enrollment Group
18/04/2024 08:56:54 AM : root         : INFO     : Status is : [True, True, False]
