21/04/2024 06:05:22 PM : root         : INFO     :  ******** Reporting_Module (Order - 16) Begin ********
21/04/2024 06:05:22 PM : root         : INFO     : ********* TC_Reporting_01 started ************
21/04/2024 06:05:29 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:05:29 PM : root         : INFO     : url is not open
21/04/2024 06:05:30 PM : root         : INFO     : opening localhost portal login
21/04/2024 06:05:30 PM : root         : INFO     : logging in to core
21/04/2024 06:05:30 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:30 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:32 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:33 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:35 PM : root         : INFO     : ******* Login with executive user success *********
21/04/2024 06:05:38 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:38 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:43 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:43 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:47 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:47 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:49 PM : root         : INFO     : Clicked on generate report button...
21/04/2024 06:05:49 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:49 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:49 PM : root         : INFO     : Reporting panel heading: NUMBER OF PROBABLE MATCH EVENTS BY ZONE
TSV
21/04/2024 06:05:50 PM : root         : INFO     : expected_all_events_count: 283
21/04/2024 06:05:50 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:50 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:52 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:52 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:53 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:53 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:53 PM : root         : INFO     : actual_all_devices_events_count: 283
21/04/2024 06:05:54 PM : root         : INFO     : expected edge event count: 283
21/04/2024 06:05:54 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:54 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:54 PM : root         : INFO     : clicked on search dropdown
21/04/2024 06:05:55 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:55 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:55 PM : root         : INFO     : clicked on org hierarchy btn
21/04/2024 06:05:56 PM : root         : INFO     : length of regions: 20
21/04/2024 06:05:56 PM : root         : INFO     : expected_region: sceedge5-vm
21/04/2024 06:05:57 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:05:57 PM : root         : INFO     : sceedge5-vm
21/04/2024 06:05:57 PM : root         : INFO     : clicked on save button..
21/04/2024 06:05:57 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:57 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:59 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:05:59 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:05:59 PM : root         : INFO     : expected_edge_events_count: 283
21/04/2024 06:05:59 PM : root         : INFO     : actual edge event count: 283
21/04/2024 06:06:00 PM : root         : INFO     : status: [True, False, True]
21/04/2024 06:06:00 PM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_Reporting_01.png
21/04/2024 06:06:01 PM : root         : INFO     : ********* TC_Reporting_02 started ************
21/04/2024 06:06:02 PM : root         : INFO     : page url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:06:02 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
21/04/2024 06:06:02 PM : root         : INFO     : url is not open
21/04/2024 06:06:03 PM : root         : INFO     : opening localhost portal login
21/04/2024 06:06:03 PM : root         : INFO     : logging in to core
21/04/2024 06:06:03 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:13 PM : root         : INFO     : element not found: //div/input[@id="login-username"]
21/04/2024 06:06:14 PM : root         : INFO     : exception: ()
21/04/2024 06:06:15 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:15 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:21 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:21 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:25 PM : root         : INFO     : entered explicit wait for 10
21/04/2024 06:06:25 PM : root         : INFO     : exiting explicit wait..
21/04/2024 06:06:27 PM : root         : INFO     : Clicked on generate report button...
