22/04/2024 11:50:15 AM : selenium.webdriver.common.selenium_manager : WARNING  : The chromedriver version (123.0.6312.86) detected in PATH at C:\Python Install\Lib\site-packages\seleniumbase\drivers\chromedriver.exe might not be compatible with the detected chrome version (124.0.6367.61); currently, chromedriver 124.0.6367.60 is recommended for chrome 124.*, so it is advised to delete the driver in PATH and retry
22/04/2024 11:50:17 AM : root         : INFO     :  ******** Identify & Enroll (Order - 8) Begin ********
22/04/2024 11:50:17 AM : root         : INFO     : ************* test_TC_IE_08 started  **************
22/04/2024 11:50:25 AM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 11:50:25 AM : root         : INFO     : url is not open
22/04/2024 11:50:26 AM : root         : INFO     : opening localhost portal login
22/04/2024 11:50:26 AM : root         : INFO     : logging in to core
22/04/2024 11:50:26 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:26 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:28 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:29 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:31 AM : root         : INFO     : login success..
22/04/2024 11:50:35 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:35 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:35 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:35 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:35 AM : root         : INFO     : clicked on Identify and enroll link
22/04/2024 11:50:37 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:37 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:37 AM : root         : INFO     : clicked on upload image icon
22/04/2024 11:50:41 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:43 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:43 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:43 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:43 AM : root         : INFO     : Clicked on Identify and Enroll button
22/04/2024 11:50:47 AM : root         : INFO     : waiting fir wait icon, count: 1
22/04/2024 11:50:51 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:50:51 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:50:53 AM : root         : INFO     : eg index: 3
22/04/2024 11:50:55 AM : root         : INFO     : enrollment group: fraude
22/04/2024 11:50:55 AM : root         : INFO     : enrollment group selected = fraude (Serious Offender - None)
22/04/2024 11:51:05 AM : root         : INFO     :  date : 22/04/2024
22/04/2024 11:51:09 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:51:09 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:51:09 AM : root         : INFO     : Enrollment details filled and save btn is clicked
22/04/2024 11:51:10 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:51:11 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:51:11 AM : root         : INFO     : Success msg is visible : True
22/04/2024 11:51:45 AM : root         : INFO     : ************* test_TC_IE_00 started  **************
22/04/2024 11:51:46 AM : root         : INFO     : page url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 11:51:46 AM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 11:51:46 AM : root         : INFO     : url is not open
22/04/2024 11:51:46 AM : root         : INFO     : opening localhost portal login
22/04/2024 11:51:46 AM : root         : INFO     : logging in to core
22/04/2024 11:51:46 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:51:56 AM : root         : INFO     : element not found: //div/input[@id="login-username"]
22/04/2024 11:51:57 AM : root         : INFO     : exception: ()
22/04/2024 11:51:59 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:51:59 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:51:59 AM : root         : INFO     : clicked on Identify and enroll link
22/04/2024 11:52:02 AM : root         : INFO     : image uploaded: C:\Users\ShivajiWankhede\Desktop\FF_Smoke_Test\All_Test_Data\Common_Test_data\dataset2\img4.png
22/04/2024 11:52:02 AM : root         : INFO     : Photo Selected....
22/04/2024 11:52:03 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:03 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:52:03 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:03 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:52:03 AM : root         : INFO     : Clicked on Identify and Enroll button
22/04/2024 11:52:12 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:12 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:52:14 AM : root         : INFO     : eg index: 0
22/04/2024 11:52:16 AM : root         : INFO     : enrollment group: soe
22/04/2024 11:52:19 AM : root         : INFO     : region btn clicked
22/04/2024 11:52:20 AM : root         : INFO     : edge name: sceedge5-vm
22/04/2024 11:52:20 AM : root         : INFO     : region name selected: SCEEDGE5-VM
22/04/2024 11:52:20 AM : root         : INFO     : save btn : 
22/04/2024 11:52:25 AM : root         : INFO     :  date : 22/04/2024
22/04/2024 11:52:28 AM : root         : INFO     : save btn displayed: True
22/04/2024 11:52:28 AM : root         : INFO     : Enrollment details filled and save btn is clicked
22/04/2024 11:52:34 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:34 AM : root         : INFO     : element not found: //p[@ng-bind="'TEXT-PERSON-ADDED' | i18n"]
22/04/2024 11:52:40 AM : root         : ERROR    : Exception crated: ()
22/04/2024 11:52:40 AM : root         : INFO     : status: [True]
22/04/2024 11:52:40 AM : root         : INFO     : status: [True]
22/04/2024 11:52:41 AM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 11:52:41 AM : root         : INFO     : actual url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 11:52:41 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:41 AM : root         : INFO     : exiting explicit wait..
22/04/2024 11:52:42 AM : root         : INFO     : close all btn object count: 0
22/04/2024 11:52:42 AM : root         : INFO     : entered explicit wait for 10
22/04/2024 11:52:42 AM : root         : INFO     : exiting explicit wait..
