22/04/2024 01:01:11 PM : root         : INFO     :  ******** Notifier (Order - 17) Begin ********
22/04/2024 01:01:11 PM : root         : INFO     : *********** TC_Notifier_022 started **********
22/04/2024 01:01:19 PM : root         : INFO     : current url: https://scecore5-vm.qa.facefirst.dev/
22/04/2024 01:01:19 PM : root         : INFO     : url is not open
22/04/2024 01:01:19 PM : root         : INFO     : opening localhost portal login
22/04/2024 01:01:19 PM : root         : INFO     : logging in to core
22/04/2024 01:01:19 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 01:01:19 PM : root         : INFO     : exiting explicit wait..
22/04/2024 01:01:21 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 01:01:22 PM : root         : INFO     : exiting explicit wait..
22/04/2024 01:01:24 PM : root         : INFO     : login success..
22/04/2024 01:01:29 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 01:01:29 PM : root         : INFO     : exiting explicit wait..
22/04/2024 01:01:30 PM : root         : INFO     : Clicked on Org/Hierarchy Selection button...
22/04/2024 01:01:31 PM : root         : INFO     : entered explicit wait for 10
22/04/2024 01:01:31 PM : root         : INFO     : exiting explicit wait..
22/04/2024 01:01:31 PM : root         : INFO     : Clicked on 'Collapse all' button....
22/04/2024 01:01:31 PM : root         : INFO     : Region names are collapsed...
22/04/2024 01:01:32 PM : root         : INFO     : Clicked on 'Expand All' button....
22/04/2024 01:01:33 PM : root         : INFO     : Region names are expanded...
22/04/2024 01:01:35 PM : root         : INFO     : Click on 'Select all' button...
22/04/2024 01:01:35 PM : root         : INFO     : All regions are selected...
22/04/2024 01:01:36 PM : root         : INFO     : Clicked on 'Unselect all' button...
22/04/2024 01:01:37 PM : root         : INFO     : All regions are unselected...
22/04/2024 01:01:37 PM : root         : INFO     : status: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]
