17/04/2024 09:38:14 AM : root         : INFO     :  ******** Visitor_Search (Order - 7) Begin ********
17/04/2024 09:38:14 AM : root         : INFO     : ********** Test_VS_03 Begin  **********
17/04/2024 09:38:21 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:38:21 AM : root         : INFO     : url is not open
17/04/2024 09:38:22 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:38:22 AM : root         : INFO     : logging in to core
17/04/2024 09:38:22 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:38:22 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:38:24 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:38:24 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:38:27 AM : root         : INFO     : ******* Login with operator user success *********
17/04/2024 09:38:29 AM : root         : INFO     : going to visitor search...
17/04/2024 09:38:29 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:38:29 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:38:31 AM : root         : INFO     : waiting for search panel to appear...
17/04/2024 09:38:31 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:38:31 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:38:34 AM : root         : INFO     : Strategy: from
17/04/2024 09:38:34 AM : root         : INFO     : select from date checkbox
17/04/2024 09:38:35 AM : root         : INFO     : select date time
17/04/2024 09:38:35 AM : root         : INFO     : datetime clicked
17/04/2024 09:38:36 AM : root         : INFO     : selecting time
17/04/2024 09:38:36 AM : root         : INFO     : select time 
17/04/2024 09:38:40 AM : root         : INFO     : select in from hours and min
17/04/2024 09:38:41 AM : root         : INFO     : From start date
17/04/2024 09:38:44 AM : root         : INFO     : Strategy: to
17/04/2024 09:38:46 AM : root         : INFO     : selecting time
17/04/2024 09:38:47 AM : root         : INFO     : select time 
17/04/2024 09:38:51 AM : root         : INFO     : select in to hours and min
17/04/2024 09:38:51 AM : root         : INFO     : To End Date
17/04/2024 09:38:53 AM : root         : INFO     : edge name: sceedge6-vm
17/04/2024 09:38:54 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:38:54 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:38:55 AM : root         : ERROR    : screenshot file path: C:\Users\FFAzureAdmin\Desktop\FF_Smoke_Test\Reports\Screenshots\TC_VS_03_exception.png
17/04/2024 09:38:55 AM : root         : ERROR    : TC_VS_03 got exception as: ()
17/04/2024 09:38:55 AM : root         : INFO     : test_TC_VS_03 execution failed..
